fact,question,A,B,C,D,commonSense,answer
sedimentary rocks are formed from sediment compacting together,A heavy glacier moving across a continent affects what's underneath it by,compaction,salt tectonics,arctic foxes,exfoliation,"['glaciers compact rocks as it moves over them', 'packing sediment tightly forms sedimentary rocks']",A
a reptile is cold-blooded,"Cold-blooded animals are unable to live in cold climates, which is why you always see this type of creature in  hot areas",remote,eggshells,Iguanas,candy blooded,"['amphibians are cold blooded and can not survive the cold', 'snakes are cold blooded']",C
oceans contains most of earth 's water,oceans contains most of earth 's,wet sustenance,trees,clouds,shoes,"['oceans contain salt water', 'the ocean is on the Earth']",A
a monkey births live young,A monkey births live what?,hares,younglings,rats,dogs,"['a monkey is an animal', 'snow monkeys are animals']",B
"as a source of light becomes closer , that source will appear brighter","as a source of light becomes closer , that source will appear",heavily luminous,sweeter,darker,louder,"['forests becoming water sources is a change', 'the sun is a source of heat']",A
some humans live in houses,some humans live in,volcanoes,bombs,constructed environment repellents,leaves,"['some lizards like some species of geckos live in tropical environments', 'only some species of lizards live in the desert']",C
a spider web is used to capture food by spiders,which of these would have a better chance at thriving?,a woman starving every day,mosquito on mars in space,a man without money to eat,a spider with an abundance of prey in web,"['spiders are small animals', 'spiders build webs, traps and hunt']",D
rubber is an thermal insulator,Rubber will keep,heat from spreading,Balls from bouncing,Wheels from rolling,pucks from sliding.,"['rubber insulates from electrical heat', 'erasers are rubber insulators']",A
crumple means change shape from smooth into compacted by physical force,crumple means change shape from smooth into,lots of folds and ridges,extra smooth all over,a pile of burned ash,a wet mushy pike,"['squashing means to crumple', 'crushing is crumpling']",A
cycles of day and night occur once per day,cycles of day and night occur once per,month,86400 seconds,decade,year,"['a day-night cycle is a day', 'The sun rising occurs once per day']",B
lightning can cause a forest fire,What can cause a forest fire?,littering cans and food wrappers,an overheating car engine,a combination of snow and rain,sudden electrostatic discharge from a cloud,"['a match causes fire', 'dry bushes can catch fire']",D
An example of playing a musical instrument is strumming a guitar string,An example of playing a musical instrument is what?,driving,flying,walking,banging drums,"['A lute is a musical instrument', 'blowing pipes is playing an instrument']",D
grey clouds appear before precipitation,It's most likely to rain when the color of the sky looks,Seven,eggshells,meteor strike,dark and Silvery,"['cloud precipitation is rain', 'clouds are likely to precipitate']",D
An electrical conductor is a vehicle for the flow of electricity,An example of a conductor might be,carrots,wood,a nickel,magic,"['An example of an electrical conductor could be a coin.', 'steel is an electrical conductor']",C
braking can cause skidding,in which of these conditions could one most likely skid off the road?,driving on a dry day,driving in optimal conditions,driving on an icy day,driving on a clear day,"['ice causes cars to skid', 'slamming the breaks causes the car to skid']",C
predators eat other animals,"When observing animals in the wild, which of these are you most likely to see?",A frog stalking a rabbit,A bear sticking its claws in the river,A wolf hunting an eagle,A tiger hunting a dolphin,"['predators eat other animals', 'cougars eat other animals, like voles']",B
an incandescent light bulb converts electricity into heat by sending electricity through a filament,"Thermal energy is used in a light bulb, which makes filaments",quite chilly,cool to touch,frosted over,hurt to touch,"['the filament converts the energy in a light bulb', 'light bulbs use electricity']",D
disguise means change appearance to hide,Which animal is likeliest to be hidden in plain sight?,a worm on the sidewalk,a giraffe in the city,a zebra in a pack,a human in a car,"['Animals change their skin color to hide.', 'facade is a disguise']",C
"when available resources decrease in an environment , organisms have to conserve those resources",An example of conservation is avoiding the use of,clothes,gasoline,snow,air,"['conserving resources is necessary as resources become scarce', 'keeping natural is conservation']",B
soil is formed by weathering,The elements will over time level,mountains,the seas,god,giants,"['weathering occurs over a length of time', 'by using plants that need different elements the soils is not stripped']",A
lava is found above the ground,The movement of lava might be compared to that of a,sloth,Cheetah,Sail fish,Spaceship,"['lava moves above ground', 'lava is very hot']",A
a frog eats insects,A frog eats,flowers,grains,six legged creatures,cheeseburgers,"['frogs are amphibians', 'frogs are amphibious']",C
strumming a string can cause that string to vibrate,You can hear,a electric viola,a perfume,a thought,a prism,"['vibrating strings cause wood to resonate', 'a harpsichord is an instrument that makes sound through vibrating strings']",A
An example of a seasonal change is plants becoming dormant in the winter,"Many things in nature change during the seasons, and the most noticeable one in winter is that the plants all",fly away,shrivel away,cry,dance,"['One seasonal change in the environment is low temperatures and less food in the winter compared to the other seasons', 'winter is a season']",B
illness has a negative impact on an organism 's health,Someone with Lupus is probably in,robust health,excellent health,tip top health,shoddy health,"['Having a cucumber has a positive impact on health', 'Lupus is a very negatively-impacting disease']",D
a landslide is when gravity rapidly moves rocks or soil downhill especially after a rain storm,Seasonal water fall in Columbia causes whole towns to,gain tourism,have tea,become clean,slide away,"['Columbia is mountainous with loose soil', 'water in the air becomes rain or snow']",D
"as heat and moisture increases , the strength of a hurricane will increase",The strength of a hurricane increases as moisture and what increase?,hotness,animals,water,anger,"['if friction increases, heat increases', 'moisture is water']",A
reducing bacteria in food prevents illness in people,"Bacteria will build up on food if you leave it out, so if you make sure its protected from the air, you can",go to space,lift a bus,Fly,avoid falling ill,"['Bacteria will build up on food out in the open', 'cooking food reduces bacteria in it']",D
digestion is when an organism takes in nutrients from food into itself by eating,Digestion is when an organism takes in nutrients from what?,sustenance,food chart,wind,gales,"['digesting produces nutrients', 'deconstructing nutrients is digesting food']",A
dew is formed when water vapor condenses over night,"If a day is dawning and grass is glistening, then",the night was chilly,the night was hot,the snow is yellow,the yard is burned,"['grass and plants get wet with dew', 'dew makes grass slippery']",A
hydropower requires damming a river,To make hydropower you need,to burn fossil fuels,to stop or slow moving water,to fill a pool with water,to put up windmills,"['dams are manmade means of sourcing hydropower', 'damming a river created a reservoir']",B
scraping an object may cause small particles to break off of that object,"Oak tree seeds are planted and a sidewalk is paved right next to that spot, until eventually, the tree is tall and the roots must extend past the sidewalk, which means",roots may fall apart,roots may begin to die,parts may break the concrete,roots may be split,"['sidewalks are hard objects', 'oak trees are such a tree']",C
boiling is when liquids are heated above their boiling point,Which will take the longest to reach a boiling point,tea kettle,fish tank,swimming pool,bath tub,"['boiling changes a liquid to vapor', ""water becomes agitated as it reaches it's boiling point""]",C
an animal usually requires a warm body temperature for survival,If a reptile were taken to the iceland it would,have many babies,thrive,build a home,die,"['Frigid temperatures would require a source of heat for people to stay warm', 'An organisms being is its survival']",D
electrocution causes harm to an organism,"If a mouse is running in a field with a fence that will provide a shock to those that touch it, and the mouse tries to climb up it, it will most likely",keep doing it,try it again,be fatally injured,enjoy the feeling,"['a mouse is an organism', 'a mouse is a prey to a cat']",C
camouflage is a kind of protection against predators,A creature that completely goes unnoticed and unseen against a mottled leaf backdrop is probably,indoors,glowing,neon,matching,"['camouflage is used as a survival strategy against predators', 'gravity is an unseen force']",D
a renewable resource can be renewed,Which of the following resources can reproduce to replenish it's stock?,Coal,Wood,Salt,Petroleum,"['light from the sun is a renewable resource', 'nonrenewable resources cannot be replenished']",B
air is a vehicle for sound,What makes it difficult to hear on the moon?,lack of air,stiff breezes,wind,sea monsters,"['Reflection is due to how difficult it is for light to pass through it.', 'rough to spot is difficult to see']",A
the type of seed of a plant is an inherited characteristic,A person may inherit their mom's,boat,stooped shoulders,cat,building,"[""inherited characteristics don't change"", 'hand size is an inherited characteristic']",B
cycles of freezing and thawing water cause ice wedging,Ice wedging is caused by cycles of freezing and thawing of what?,h2o,plants,winds,animals,"['freezing rain causes ice wedging', 'freezing and thawing changes physical form']",A
using a car causes pollution,What will happen if more people bike instead of drive cars?,more cars will be bought,more deer will get hit by cars,it will be easier to breathe,less people will ride bikes,"['people drive cars', 'one can ride a bike instead of driving a car']",C
timber companies cut down trees,What is a likely product of a timber companies activities?,the battery of your cell phone,the ruler in your backpack,the porcelain in your toilet,the bottle you drink from,"['timber is tree products', 'timber companies make rulers']",B
wood is a renewable resource,These would likely be broken down and recycled,waste helium,waste hydrogen,pallets,waste oil,"['sunlight, water and wood are renewable', 'Air and water are renewable resources']",C
if too much heat is transferred to an object then that object may burn,"If a house burns down, the goldfish inside may do what?",quit swimming,be hungry,grow,get smarter,"['burning is when something burns', 'animal can die if burned']",A
if a substance absorbs solar energy then that substance will increase in temperature,Frozen steak which has been in the sun all day will,defrost,freeze,give birth,become sentient,"['the sun outputs solar energy which will defrost frozen substances', 'the object is the substance']",A
if a liquid disappears then that liquid probably evaporated,If a liquid disappears then what probably happened to it?,gas transformation,solidifying,melting,cooling,"['liquidity is a liquid state', 'water is a liquid']",A
conserving water can be used for survival in a dry environment,Conserving water can be used for survival where?,seas,oceans,sandy land,towns,"['stingy use is conservative use', 'barely using something is conservative use']",C
a quartz is made of six-sided transparent crystals,"If a see through thing is multifaceted, it is most likely",a ball,an apple,a silver globe,a quartz square,"['transparent is clear', 'quartz is a crystal that regulates electronic oscillators in watches']",D
the Earth revolves around the sun,human planet revolves around the sun in,a day,a week,365 earthen rotations,a eon,"['the moon revolves around the earth which revolves around sun', ""the sun's gravity causes the planets to revolve around it""]",C
if the population of an organism increases then the ecosystem may become overpopulated with that organism,The many ponds in the area along with massive swarms of mosquitoes lead the dragonflies to,convert the area into swampland,experience a sharp increase in available resources,leave the area in search of a better habitat,experience a dramatic decrease in population,"['An increase in resources can lead to organisms experiencing overpopulation', 'too many organisms reproducing can lead to overpopulation']",B
the cells of multicellular organisms can specialize,the cells of golden retrievers can,spontaneously combust,change colors,liquify,specialize,"[""a single cell organism can't have specialized cells"", 'Golden retrievers pant']",D
national parks limit hunting,"if a person wanted to hunt down some deer, which of these would be the wrong place to visit?",the local hunting reservation,a known national reservation,an uncharted wilderness region,a natural unregulated forest,"['a limit might be in place for deer hunting at the park', 'hunting limits protect the animal populations']",B
seasonal changes are made in response to changes in the environment,What does the earth orbit that causes the seasons to change?,plasma star,venus,saturn,mercury,"[""the earth changes it's tilt during season change"", 'seasons change as the earth rotates the sun']",A
"as distance from an object decreases , that object will appear larger","If you wanted the visual effect of being closer to something without moving, what would you use?",An old spyglass,Squinting your eyes,A large mirror,Some good sunglasses,"['moving closer is decreasing distance', 'as an object moves up through the air, the pressure on that object will decrease']",A
moving changes stored energy into motion and heat,kinetics change stored energy into motion and,snacks,naps,kites,warmth,"['water has motion', 'heat is energy']",D
planets orbit stars,Which orbits a star?,Neptune,a galaxy,the sun,the moon,"['the only star the earth orbits is the sun', 'Earth orbits the sun; a medium-sized star']",A
producing light is used for attracting prey by some deep sea animals,Angler fish hunt by using,fishermen,spear guns,illumination,fishing poles,"['angler fish use lights to attract prey', 'Examples of deep sea animals are angler fish and frilled sharks']",C
An example of a fossil is a footprint in a rock,One odd fossil that may have been discovered is,feelings,love,vortexes,poop,"['oil is an example of a fossil fuel', 'Dinosaur poop has been fossilized.']",D
a tape measure is used to measure distance,which one of these would be easiest to measure with a tape?,a quart of motor oil,contents of a wine bottle,contents of a can of beer,a freshly baked loaf of bread,"['tape measures can be used to measure meters', 'I can measure my body with a tape measure.']",D
a complete revolution of the Earth around the sun takes one solar year,The earth has completed half of its yearly orbit of the sun and will complete the other half in,two weeks,seven months,365 days,182 days,"['the Earth orbits the sun', 'the earth orbits the sun']",D
light enters the eye through the pupil,Light enters what through the pupil?,skin,visual organ,eye spy,eye diagram,"['pupils need to be open for light to enter', 'pupils absorb light to see']",B
a mouse gives birth to live young,A mouse give birth to ____ while a bird give birth to ____,mouse eggs; live babies,live babies; unhatched eggs,live babies; live babies,mouse eggs; rat eggs,"['fish do not give live birth', 'koalas are mammals that give birth']",B
if an object is exposed to a source of heat then that conductor may become hot,What is most likely to happen to a roof as the sun comes into contact with it?,it will fall apart,it will cry out in pain,it will heat up over time,it will cool down over time,"['the sun is a source of heat', 'sun is hot']",C
"when a sound is produced inside of a room , there is sometimes an echo after the sound",Having a conversation in rooms with bare cement can be challenging because of,dancing clown guys,bouncing sound waves,problematic triggered dingoes,egg cartons,"['There are echos in empty rooms when you scream', 'houses have rooms']",B
panting is when an animal hangs its tongue out of its mouth to adjust to hot temperatures,"On a summer day, a dog stuck outside will",be dripping with sweat,lick at the window,appear to be smiling with its mouth open,curl up somewhere and shiver,"['dogs pant', 'seeds can get stuck to dogs in a field']",C
wind and rain cause erosion,Imagine astronauts traveling to a distant asteroid as it passes near Earth. During their mission they leave behind boot prints. How long will these potentially last?,several months,5 years,thousands of years,2 weeks,"['without wind and rain any marks left on asteroids can potentially last for thousands of years if not longer', 'erosion caused by rain']",C
if something is outside during the day then that something will receive sunlight,More sunlight will be absorbed by,a plant with curled leaves,"a tree with wide, smooth leaves",a rose with tiny leaves,"a berry bush with thin, short leaves","['the Earth absorbs sunlight.', 'plants absorb sunlight energy']",B
a mother births offspring,A mother births what?,light,elements,younglings,nothing,"['mother is a parent, daughter is an offspring', 'swans are mothers']",C
"when light hits a reflective object , that light bounces off that object",What would light bounce off of when it hits it?,a wall painted grey,old worn out leather,a freshly waxed car,a street made of gravel,"['light can travel over distances when bouncing off reflective surfaces', 'reflecting is bouncing']",C
"as the activity of an animal increases , the amount of water in an animal 's body in that environment will decrease",What happens when animals in hot environments are active?,They get a sun tan under their fur,They like to take naps while running,They become thirsty more easily,They become fried and baked alive as burgers,"['rise is an increase in activity', 'an animal leaving an environment reduces the number of that animal in that space']",C
the tide cycle regularly occurs twice per day,Tides can change in different locations because,A higher power,God,Magic,the pacific's bottom,"['The ocean floor effects the types of tides in different locations.', 'high tide and low tide can be measured in the morning and evening']",D
a different moon phase occurs once per week,How long is it between a moon phase?,a minute,168 hours,an hour,a day,"['a full moon is a phase of the moon', 'a full moon is one of the phases of the moon']",B
Matter in the liquid phase has definite volume,"How many phases are present in a closed flask if it contains ice, water and air",5,3,2,6,"['Matter in the liquid phase fills the container it is in', 'ice is the solid phase of water']",B
if an animal is trained to do something then that something is a learned behavior,An example of a learned behavior is,catching a frisbee,cows eating grass,having blue eyes,birds growing wings,"['learned behavior is not instinctual behavior', 'washing face is learned behavior']",A
cooking food requires adding heat energy,How should John proceed with eating the fish he just caught?,biting right into it raw,hold the fish up the sunlight,putting his boot on a fire spit,striking flint over kindling and placing the fish above it,"['heat can cook food', 'heat is used to cook food']",D
pollination is when wind carry pollen from one flower to another flower,pollination is when wind carry pollen from one flower to another,genetically similar thing,rock,cloud,water,"['a flower procreates when pollen from another flower is deposited by bees', 'Flowering plants need pollination to reproduce']",A
"as temperature in an environment decreases , the amount of water an animal in that environment will lose will decrease",A place becomes chilly and then animals in that space,sweat more often,lose more water,need more hydration,retain more water,"['an animal leaving an environment reduces the number of that animal in that space', 'arctic environments are chilly']",D
a revolution is when something revolves around something else,a revolution is when something revolves around,dancing,poetry,more physical matter,cupcakes,"['the moon revolves around the earth which revolves around sun', 'traveling around a thing is a revolution']",C
"as available resources increases , the population of an organism that uses those resources will increase",Where are you most likely to see a healthy amount of pollinating insects?,Where water is plentiful and flowers are everywhere,Where water is plentiful and flowers are few,Where flowers are everywhere and spiders are hungry,Where water is depleted and flowers are everywhere,"['water and flowers are crucial resources to pollinating insects', 'reusing a resource is a way of recycling that resource']",A
An example of replacing a natural resource is planting new trees where a forest once stood,An example of replacing a natural resource like copper might be,recovering ores,running around,throwing up,using plastic straws,"['An example of replacing a natural resource like copper might be recycling ores', 'water is a natural resource']",A
"as the temperature of a liquid increases , the rate of evaporation of that liquid will increase",A thing that is introduced to thermal activity will likely do this if it is able to drip:,chill,evaporate,ice over,freeze,"['liquid can drip', 'liquidity is a liquid state']",B
a cycle happens repeatedly,"There are 5 steps in the water cycle, it starts with evaporation, ends with infiltration, and then",cries,goes away,dies,Restarts,"['There are four main steps in the water cycle', 'cyclical means having a cycle, such as water has a cycle']",D
iron nails are made of iron,What is something that could be made from iron?,Cats,RVs,Wood,Feelings,"['Iron things are made of iron', 'roofing nails are made of iron']",B
an organism is a source of organic material,Feces on the ground is an indicator of a nearby,organic being,fish,plush animal,deceased animal,"['Feces is the organic waste expelled from an organism', 'An animal is an organism.']",A
Earth is made of rock,Ground has,electricity,divorce,elements,common understanding,"['the ground is the surface of the Earth which has rocks comprised of elements', 'ground material is rock, or stone']",C
coal is a nonrenewable resource,Coal might start out as,a mean fairy-godmother,pinecones,happiness,a troll,"['Coal starts out as plants.', 'coal will eventually run out']",B
the respiratory system takes in oxygen from the air,The substance that the respiratory system takes in from the air is released by,insects,birds,plants,bears,"['it takes pollutants from the air', 'The lungs are the largest part of the respiratory system']",C
a balance is used for measuring weight of a substance,A balance is used to measure the what of  a substance?,depth,height,tall,heaviness,"['In some fish, their fins may be used for balance.', 'the object is the substance']",D
electricity causes less pollution than gasoline,Good stewards of the environment would,pour old medications down the sink drain,choose plastic bags over reusables,purchase transportation that uses alternate fuel sources,use Styrofoam instead of paper plates,"['recycling is good for the environment', 'The sun is good for environments in nature.']",C
An example of an instinct is the kangaroo 's ability to crawl into its mother 's pouch to drink milk,An innate instinct could be,Learning how to drive a car,a dog drooling when it sees food,Learning a new language,Learning how to do a cartwheel,"['An example of an innate instinct is a dog drooling when it sees food.', 'An example of an instinctive behavior is a mother feeding the kids']",B
a sifter is used for separating mixtures,Which of these could be separated with a sifter,a cup of coffee,a bowl of melted ice cream,a bottle of water,a bowl of cereal,"['heat starts the chemical reaction of separating the curds and whey', 'the cell membrane separates the interior of the cell from the outside']",D
feeders attract animals to a location,feeders attract animals to a,volcano,video game,nearby spot,moon,"['seeds in a dish act as a feeder', 'attraction is a preference']",C
"as the smoothness of something increases , the friction of that something will decrease when its surface moves against another surface",A bobsled moves much faster as it leaves the concrete an touches the,sand,grass,sun,ice,"['the earth moves as it orbits the sun', 'Displacement is the moving of something from its position']",D
a hot plate is a source of heat,"if a person commits arson, which of these might be found as the source in the remains?",a new cold water bottle,a new portable stove,a new hot coffee,a blue plastic comb,"['the sun is a source of heat', 'hot plates are heated']",B
if electricity flows along more than one pathway then the circuit is parallel,A circuit is parallel when more than one pathway has flowing what?,ideas,stocks,water,zapping energy,"['completed circuits have electrical flow in lights', 'equidistant is parallel']",D
a plant 's roots slowly break down rocks as the roots grow,A cypress tree's stout roots splitting asphalt is an example of,cookie elves,compacting,weathering,beer,"[""weathering is when a plant's roots slowly breaks down rocks"", 'plants are organisms with roots']",C
all living things grow,Melissa observes a plant and records her observations. On Monday it is 4 cm tall. On Friday it is 5 cm tall. Melissa concludes that the plant is,dead,alive,flowering,green,"['A tall bush is a tree', 'age markings on tall plants are rings in trees']",B
the sun transfers solar energy from itself to the Earth through sunlight,the sun transfers solar energy from itself to the Earth through,electricity,water,rocks,sunradiation,"['the sun is the source of solar energy', 'the heat energy is transferred to the food']",D
usually coral lives in warm water,Coral get their ____ from algae,vibrance,love,apples,candles,"['Coral get their vibrance from algae.', 'Algae give coral their color.']",A
In the food chain process bacteria have the role of decomposer,Bacteria in the soil feed on,uranium,expired creatures,crowd sourced work,kryptonite,"['Bacteria will build up on food out in the open', 'cooking food reduces bacteria in it']",B
a plant requires soil for to grow,"To grow, bamboo will require both of the following:",light and electricity,light and money,light and mud,oil and water,"['bamboo grows quickly', 'bamboo is a plant']",C
food is a source of energy for animals,What is a source of energy for animals?,food charts,fire,grasshoppers,gales,"['sunlight is a source of solar energy', 'wind is a source of renewable energy']",C
amphibians hatch from eggs,amphibians hatch from,trees,rocks,the sky,calcium life pods,"['amphibians that have hatched are tadpoles', 'humans do not hatch from eggs']",D
combining two substances chemically causes chemical reactions,Cola and mentos combined will,expand quickly,evaporate,freeze,disappear,"['reaction requires combining them', 'burning is a chemical reaction']",A
tinted lenses reflect ultraviolet rays,Beach gear that protects your peepers and looks cool is,sand,bikini beach volleyball,tinted glasses,swimming trunks,"['tinted glasses have tinted lenses', 'To avoid ultraviolet rays, cover up.']",C
solar energy is an inexhaustible resource,Which of these can you use as much as you'd like of without diminishing it at all?,natural gas,sunlight,good will,fossil fuels,"['You can use a flashlight as a source of heat.', 'Sand clay is an inexhaustible resource.']",B
the skeletal system protects internal organs,If a human has all their bones removed,they are dancing,they can stand,organs are safe,organs will fail,"['skeletal system is made of bones', 'internal organs are fortified by skeletal structures']",D
a chipmunk eats acorns,"a student leaves a bag of acorns on the playground, which one of these will most likely take it?",a fish in the pond,a dog in the house,a stray local chipmunk,a tiger in the zoo,"['acorns are part of a plant', 'acorns are a type of nut']",C
if food is not immediately used by the body for energy then that food will be stored for future use,"if a person takes in more food than their body needs at the time, what happens?",they will become smarter,they will become tubbier,they will become lighter,they will become shorter,"['Plants use the sun for their food.', 'Food contains energy for humans.']",B
if a population decreases to zero then that organism is extinct,As bad water increases in an environment the number of aquatic animals such as zooplankton will,face extinction,stagnate,grow,hibernate,"['bad water can decrease animals populations', 'an animal leaving an environment reduces the number of that animal in that space']",A
windy means high wind speeds,A pendant whipping indicates,bulk air movement,patriotic magnets,a still atmosphere,aliens are attacking,"['windy conditions whip materials in the air', 'flowers are plants, and windy air is wind']",A
roots are a vehicle for absorbing water and nutrients from soil into the plant,Which likely can hydrate without moving?,a panda,a bamboo stalk,a raccoon,a dog,"['plants need soil for nutrients', 'soil contains the roots']",B
Matter in the gas phase has variable shape,"A solid has a fixed shape. When liquid is boiled and turns into gas, its shape is",impermanent,talk,play games,smile,"['liquid matter can be measured in any shape container since its shape is variable', 'Gas shapes do not stay the same']",A
reptiles lay eggs,"Unlike bird eggs, reptile's eggs are",symmetrical,Neon green,magical,watermelons,"[""Unlike bird eggs, reptile's eggs are symmetrical."", 'birds lay eggs']",A
a thermal energy conductor transfers heat from hotter objects to cooler objects,An example of thermal energy is,crying in a school bathroom,trying to kiss someone,typing on a computer,Drying our clothes in the sun,"['Thermal Conduction transfers heat from one object to another.', 'Heat conducts thermal energy.']",D
adaptation is when an organism develops a trait over time for survival,"If a hive of bees used to sleep through cold snaps, but now stay awake and productive during them, the hive probably",melted,adjusted,subtracted,froze,"['thick fur is an adaptation used to survive in cold places', 'sleep time is night time']",B
dropping something causes that something to fall,"If a thing is tossed and goes uncaught, then it will",reproduce,fall,dissolve,burn,"['dropping a glass will break it', 'falling is when something meets the ground']",B
something in a cold place becomes cold,Skittles left in snow become,hot,mushy,hard,soft,"['water in the air becomes rain or snow', 'snow and frost are cold']",C
plants are a source of oxygen through photosynthesis,What is a source of oxygen through photosynthesis?,lakes,car engines,sunflowers,people,"['a byproduct of photosynthesis is oxygen', 'oxygen is air']",C
acid rain has a negative impact on water quality,"If rain is something other than clean, then water in that area will",be unsafe,be great,be safe,be clean,"['if it rains, an area with no water will have water', 'water from the sky is rain']",A
matter vibrating can cause sound,Which is most characterized by the vibration of air?,a viola,a brick,a blood cell,a flashlight,"['sound vibrates', 'sound can vibrate things to break']",A
a beak is used for catching prey by some birds,An example of being a predator is,an eagle landing on a branch,a mouse taking shelter in a hole,a wolf having a litter of pups,a bird catching worms in its mouth,"['being a predator means catching prey', 'some birds use their feet to catch prey']",D
a ruler is used for measuring the length of an object,I can use a ruler to measure,The smell of popcorn,the space between my toes,The length of air,how angry I am,"['phones may be measured with a ruler', 'I can use a ruler to measure the space between my toes']",B
an earthquake causes the ground to shake,an earthquake causes the ground to,recite poetry,bounce and jump,grow fruit,run marathons,"['trees are a part of the ground, which shakes during an earthquake', 'atomic bombs cause the ground to shake like earthquakes']",B
if gas is heated then that gas will rise,Gas will rise when what happens to it?,blazing temps,cooling,melting,freezing,"['air is a gas', 'the air in it is gas']",A
some animals live in zoo exhibits,Which is likely to be in a zoo exhibit?,an osprey,bacteria,a human,a dinosaur,"['zoos are public exhibitions for viewing', 'ospreys live in the zoo']",A
white blood cell destroys pathogens in the body,What do white blood cells allow to stay in the body?,viruses,oxygen,parasites,bacteria,"['AIDS destroys white blood cells', 'weak white blood cells cause vulnerability to pathogens']",B
animals adapt to their environment,"Bringing a stray cat to your home to live will be hard for it at first, but since animals adapt, it will",fly away,go to space,get acclimated,breathe underwater,"['cats will get used to their new homes', 'a change is an adaptation']",C
the digestive system breaks food into nutrients for the body,Paul's dog has just pooped on the lawn. The dog has,had a nutritious meal within the last day,gotten himself into trouble,had a lot to drink,been a good boy,"['dogs are animals', 'Dogs are living.']",A
shelter can protect humans from weather,What can humans hide from weather in?,a shady tree,a local museum,a soda can,a playground,"['shelter is protection', 'animal need housing to protect them from bad weather.']",B
a simple machine requires mechanical energy to function,What provides the energy to open a doorknob?,you,a ghost's hand,alloys,electricity,"['humans provide mechanical energy to simple machines', 'a door knob is a simple wheel and axle machine that humans provide the energy to make work']",A
humans discarding waste in an environment causes harm to that environment,People dumping their trash in the ocean does what to the animals and plant life,flies,types,dirties their habitat,reads minds,"['Humans poison the environment by dumping trash into the pacific.', 'Throwing trash in the ocean is pollution.']",C
a source of something supplies that something,a retailer gets an order of aluminum delivered weekly. Where is the aluminum likely coming from?,it is coming from a school,it is coming from a mystery place,it is coming from santa claus,it is coming from a merchant,"['cans are aluminum', 'aluminum is a metal']",D
an organism breaking down sugar is a source of water,Plants might use water and sucrose to create their own,provender,pandas,friends,emotions,"['Plants use water and sugar to create their own sustenance.', 'sucrose is sugar']",A
doing chores is a learned characteristic,which one of these is approximately opposite in acquisition to doing chores?,instinctive behavior,cleaning the yard,mowing the lawn,washing the dishes,"['doing laundry is a chore', 'cooking is a chore']",A
An example of seed dispersal is animals eating seeds,When a varmint eats a pear and discards the seeds what will develop,a tree,flower,debt,an ant mound,"['Chia is a seed, birds eat seeds', 'pear seed will turn into a tree']",A
coal is used to produce electricity by burning in coal-fire power stations,"Within a power station meant to process coal, electricity is",reaped,broken,destroyed,devasted,"['coal ash results from burning coal and is very harmful to breathe', 'trains use coal']",A
"when a body of water receives more water than it can hold , a flood occurs",An extremely rapid surge of rising flood water that moves across usually dry land at about 30 feet or more each second is powerful enough to,keep the land dry,lift and carry a tall mountain,lift a 250-ton object off the ground,reach high in the sky,"['an extremely rapid surge of rising flood water that moves across usually dry land is powerful enough to lift a 250-ton object off the ground', 'flooding expands the water over land']",C
carbon steel is always magnetic,a person places a dime next to an object on a table. The dime moves toward the object on its own. Which of these is likely to be that object?,a piece of paper,a can of coke,a loaf of bread,a piece of carbon steel,"['carbon steel will attract a dime', 'as an object moves up through the air, the pressure on that object will decrease']",D
a producer is a source of sugar in an ecosystem,Which is a producer?,cloudy mornings,vinyl,team Alicia,strawberries,"['A tree is an example of a producer', 'plants are producers']",D
a tree is a source of food for birds in an ecosystem,Jays find nutrition in,mulberries,plastic beads,philosophy,metal blue bells,"['mulberry trees provide food for birds like Jays', 'nutrition is the food']",A
eyes are used for seeing by animals by sensing light,What uses eyes to see by sensing light?,trees,algae,worms,elephants,"['eyes use light to see', 'Eyes are used for seeing']",D
An example of collecting data is measuring,A crowd-source worker wants to track when a certain task drops. They would,use a notebook,randomly play tracks,buy expensive sneakers,run for miles,"['a notebook can be used to collect data', 'Interviews are used to collect data.']",A
animals live and feed near their habitats,Falcons reside best in,volcanoes,Scottish moors,tar pits,ocean trenches,"['a residence is a shelter', 'falcons have sharp beaks']",B
matter is made of molecules,What might have more closely packed matter,air,wood,gold,water,"['all items are made of matter', 'Gold has more tightly packed matter because it is dense.']",C
the pupa stage is a stage in the metamorphosis process of some animals,"if an animal skips the pupa stage in its metamorphosis, what does that characterize?",a process of incomplete transition,a very passive metamorphosis,a true and complete metamorphosis,a very aggressive metamorphosis,"['metamorphosis is a stage conversion', 'stage after larva is pupa']",A
oil is a source of gasoline,which one of these would be an original form of what powers most autos?,a can of water,a deposit of crude,a large river dam,a big oak tree,"['gasoline is made from oil', 'oil fields are the source of oil']",B
shiny things reflect light,What can you see yourself in?,a tar pit,a deep cave,clear mountain lake,an abyss,"['reflection lets you see yourself in an object', 'You might see light reflect off of mist.']",C
bears eat insects,Where is a mama bear likely to find food?,on top of the highest trees,in the deepest mines,in the inside of a felled oak,at the bottom of the lake,"['bears are living things', 'bears eat other living things too']",C
"when the season changes , the amount of daylight will change",You can work longer when,Autumn changes to Winter,spring changes to summer,tree leaves start falling,the first snow starts falling,"['longer hours of daylight means greater amounts of daylight', ""the earth changes it's tilt during season change""]",B
